"","X","Team1","Team2","match_date","Season_Year","Season_Winner","Venue_Home_Team","City_Name","Country_Name","Toss_Winner","match_winner"
"607",607,"Rising Pune Supergiants","Kolkata Knight Riders","4/26/2017",2017,"Mumbai Indians","Rising Pune Supergiants","Pune","India","Kolkata Knight Riders","Kolkata Knight Riders"
"608",608,"Royal Challengers Bangalore","Gujarat Lions","4/27/2017",2017,"Mumbai Indians","Royal Challengers Bangalore","Bengaluru","India","Gujarat Lions","Gujarat Lions"
"609",609,"Kolkata Knight Riders","Delhi Daredevils","4/28/2017",2017,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"610",610,"Kings XI Punjab","Sunrisers Hyderabad","4/28/2017",2017,"Mumbai Indians","Kings XI Punjab","Mohali","India","Kings XI Punjab","Sunrisers Hyderabad"
"611",611,"Rising Pune Supergiants","Royal Challengers Bangalore","4/29/2017",2017,"Mumbai Indians","Rising Pune Supergiants","Pune","India","Royal Challengers Bangalore","Rising Pune Supergiants"
"612",612,"Gujarat Lions","Mumbai Indians","4/29/2017",2017,"Mumbai Indians","Gujarat Lions","Rajkot","India","Gujarat Lions","tied"
"613",613,"Kings XI Punjab","Delhi Daredevils","4/30/2017",2017,"Mumbai Indians","Kings XI Punjab","Mohali","India","Kings XI Punjab","Kings XI Punjab"
"614",614,"Sunrisers Hyderabad","Kolkata Knight Riders","4/30/2017",2017,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Kolkata Knight Riders","Sunrisers Hyderabad"
"615",615,"Mumbai Indians","Royal Challengers Bangalore","5/1/2017",2017,"Mumbai Indians","Mumbai Indians","Mumbai","India","Royal Challengers Bangalore","Mumbai Indians"
"616",616,"Rising Pune Supergiants","Gujarat Lions","5/1/2017",2017,"Mumbai Indians","Rising Pune Supergiants","Pune","India","Rising Pune Supergiants","Rising Pune Supergiants"
"617",617,"Delhi Daredevils","Sunrisers Hyderabad","5/2/2017",2017,"Mumbai Indians","Delhi Daredevils","Delhi","India","Delhi Daredevils","Delhi Daredevils"
"618",618,"Kolkata Knight Riders","Rising Pune Supergiants","5/3/2017",2017,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Rising Pune Supergiants","Rising Pune Supergiants"
"619",619,"Delhi Daredevils","Gujarat Lions","5/4/2017",2017,"Mumbai Indians","Delhi Daredevils","Delhi","India","Delhi Daredevils","Delhi Daredevils"
"620",620,"Royal Challengers Bangalore","Kings XI Punjab","5/5/2017",2017,"Mumbai Indians","Royal Challengers Bangalore","Bengaluru","India","Royal Challengers Bangalore","Kings XI Punjab"
"621",621,"Sunrisers Hyderabad","Rising Pune Supergiants","5/6/2017",2017,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Sunrisers Hyderabad","Rising Pune Supergiants"
"622",622,"Delhi Daredevils","Mumbai Indians","5/6/2017",2017,"Mumbai Indians","Delhi Daredevils","Delhi","India","Delhi Daredevils","Mumbai Indians"
"623",623,"Royal Challengers Bangalore","Kolkata Knight Riders","5/7/2017",2017,"Mumbai Indians","Royal Challengers Bangalore","Bengaluru","India","Kolkata Knight Riders","Kolkata Knight Riders"
"624",624,"Kings XI Punjab","Gujarat Lions","5/7/2017",2017,"Mumbai Indians","Kings XI Punjab","Mohali","India","Gujarat Lions","Gujarat Lions"
"625",625,"Sunrisers Hyderabad","Mumbai Indians","5/8/2017",2017,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Mumbai Indians","Sunrisers Hyderabad"
"626",626,"Kings XI Punjab","Kolkata Knight Riders","5/9/2017",2017,"Mumbai Indians","Kings XI Punjab","Mohali","India","Kolkata Knight Riders","Kings XI Punjab"
"627",627,"Gujarat Lions","Delhi Daredevils","5/10/2017",2017,"Mumbai Indians","Gujarat Lions","Kanpur","India","Delhi Daredevils","Delhi Daredevils"
"628",628,"Mumbai Indians","Kings XI Punjab","5/11/2017",2017,"Mumbai Indians","Mumbai Indians","Mumbai","India","Mumbai Indians","Kings XI Punjab"
"629",629,"Delhi Daredevils","Rising Pune Supergiants","5/12/2017",2017,"Mumbai Indians","Delhi Daredevils","Delhi","India","Delhi Daredevils","Delhi Daredevils"
"630",630,"Gujarat Lions","Sunrisers Hyderabad","5/13/2017",2017,"Mumbai Indians","Gujarat Lions","Kanpur","India","Sunrisers Hyderabad","Sunrisers Hyderabad"
"631",631,"Kolkata Knight Riders","Mumbai Indians","5/13/2017",2017,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Mumbai Indians"
"632",632,"Rising Pune Supergiants","Kings XI Punjab","5/14/2017",2017,"Mumbai Indians","Rising Pune Supergiants","Pune","India","Rising Pune Supergiants","Rising Pune Supergiants"
"633",633,"Delhi Daredevils","Royal Challengers Bangalore","5/14/2017",2017,"Mumbai Indians","Delhi Daredevils","Delhi","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"634",634,"Mumbai Indians","Rising Pune Supergiants","5/16/2017",2017,"Mumbai Indians","Mumbai Indians","Mumbai","India","Mumbai Indians","Rising Pune Supergiants"
"635",635,"Sunrisers Hyderabad","Kolkata Knight Riders","5/17/2017",2017,"Mumbai Indians","Royal Challengers Bangalore","Bengaluru","India","Kolkata Knight Riders","Kolkata Knight Riders"
"636",636,"Mumbai Indians","Kolkata Knight Riders","5/19/2017",2017,"Mumbai Indians","Royal Challengers Bangalore","Bengaluru","India","Mumbai Indians","Mumbai Indians"
"637",637,"Mumbai Indians","Rising Pune Supergiants","5/21/2017",2017,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Mumbai Indians","Mumbai Indians"
