Team1,Team2,match_date,Season_Year,Season_Winner,Venue_Home_Team,City_Name,Country_Name,Toss_Winner,match_winner
Mumbai Indians,Gujarat Lions,4/16/2016,2016,Sunrisers Hyderabad,Mumbai Indians,Mumbai,India,Gujarat Lions,Gujarat Lions
Kings XI Punjab,Rajasthan Royals,4/21/2011,2011,Chennai Super Kings,Kings XI Punjab,Chandigarh,India,Rajasthan Royals,Kings XI Punjab
Delhi Daredevils,Kolkata Knight Riders,5/7/2014,2014,Kolkata Knight Riders,Delhi Daredevils,Delhi,India,Delhi Daredevils,Kolkata Knight Riders
Rajasthan Royals,Deccan Chargers,3/26/2010,2010,Chennai Super Kings,Rajasthan Royals,Ahmedabad,India,Deccan Chargers,Rajasthan Royals
Rajasthan Royals,Mumbai Indians,5/26/2008,2008,Rajasthan Royals,Rajasthan Royals,Jaipur,India,Rajasthan Royals,Rajasthan Royals
Pune Warriors,Kolkata Knight Riders,5/19/2011,2011,Chennai Super Kings,Mumbai Indians,Mumbai,India,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,5/4/2008,2008,Rajasthan Royals,Rajasthan Royals,Jaipur,India,Chennai Super Kings,Rajasthan Royals
Deccan Chargers,Royal Challengers Bangalore,5/25/2008,2008,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,India,Deccan Chargers,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,5/12/2012,2012,Kolkata Knight Riders,Chennai Super Kings,Chennai,India,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,4/11/2015,2015,Mumbai Indians,Kolkata Knight Riders,Kolkata,India,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai Indians,Pune Warriors,4/6/2012,2012,Kolkata Knight Riders,Mumbai Indians,Mumbai,India,Mumbai Indians,Pune Warriors
Rajasthan Royals,Delhi Daredevils,5/11/2008,2008,Rajasthan Royals,Rajasthan Royals,Jaipur,India,Rajasthan Royals,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,5/20/2009,2009,Deccan Chargers,Other,Durban,South Africa,Kolkata Knight Riders,Kolkata Knight Riders
Pune Warriors,Kings XI Punjab,4/10/2011,2011,Chennai Super Kings,Mumbai Indians,Mumbai,India,Kings XI Punjab,Pune Warriors
Delhi Daredevils,Chennai Super Kings,5/5/2014,2014,Kolkata Knight Riders,Delhi Daredevils,Delhi,India,Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Royal Challengers Bangalore,4/14/2011,2011,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,India,Royal Challengers Bangalore,Deccan Chargers
Chennai Super Kings,Kolkata Knight Riders,5/2/2014,2014,Kolkata Knight Riders,Chennai Super Kings,Ranchi,India,Chennai Super Kings,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,3/13/2010,2010,Chennai Super Kings,Mumbai Indians,Mumbai,India,Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Delhi Daredevils,4/25/2014,2014,Kolkata Knight Riders,Other,Abu Dhabi,U.A.E,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bangalore,5/18/2014,2014,Kolkata Knight Riders,Chennai Super Kings,Ranchi,India,Chennai Super Kings,Royal Challengers Bangalore
Kolkata Knight Riders,Kings XI Punjab,4/13/2017,2017,Mumbai Indians,Kolkata Knight Riders,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,4/27/2009,2009,Deccan Chargers,Other,Port Elizabeth,South Africa,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Delhi Daredevils,5/19/2012,2012,Kolkata Knight Riders,Kings XI Punjab,Dharamsala,India,Delhi Daredevils,Delhi Daredevils
Rajasthan Royals,Deccan Chargers,4/17/2012,2012,Kolkata Knight Riders,Rajasthan Royals,Jaipur,India,Deccan Chargers,Rajasthan Royals
Rising Pune Supergiants,Sunrisers Hyderabad,4/22/2017,2017,Mumbai Indians,Rising Pune Supergiants,Pune,India,Rising Pune Supergiants,Rising Pune Supergiants
Kings XI Punjab,Pune Warriors,4/21/2013,2013,Mumbai Indians,Kings XI Punjab,Chandigarh,India,Kings XI Punjab,Kings XI Punjab
Deccan Chargers,Delhi Daredevils,5/10/2012,2012,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,India,Deccan Chargers,Delhi Daredevils
